PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/yasushihonda-acg/ai-dev-solutions-lp/pull/18,fix: Google AIコースのCanvas共有記載を正確な情報に修正,2026-03-30T08:40:53Z,2026-03-30T08:40:56Z,0,False,HTML
https://github.com/Khrees2412/chatdump/pull/1,Add Gemini and Claude share support with provider health checks,2026-03-20T18:52:49Z,2026-03-20T19:42:12Z,0,False,TypeScript
https://github.com/Eckii24/dotfiles/pull/36,"Add Docker container, yadm bootstrap, and CI publishing for pi agent",2026-03-22T18:05:59Z,2026-03-22T20:55:04Z,0,False,TypeScript
https://github.com/chaishillomnitech1/context-hub-skills/pull/1,[WIP] Add initial repository setup with SKILL.md definitions,2026-03-12T19:14:19Z,2026-03-12T19:15:11Z,0,False,
https://github.com/woowacourse/gemini-canvas-mission/pull/121,[사용자가 있는 Gemini 웹앱 출시하기] 먼지 미션 제출합니다.,2026-02-26T08:30:33Z,2026-02-26T16:06:17Z,2,False,
https://github.com/Acode-Foundation/acode.app/pull/6,fix: Email leakage in user profile page,2025-10-25T11:29:24Z,2026-02-19T05:53:28Z,17,False,JavaScript
https://github.com/tikoci/restraml/pull/37,Add side-by-side RouterOS API schema diff page (docs/diff.html),2026-03-13T07:28:33Z,2026-03-13T08:01:42Z,54,False,TypeScript
https://github.com/jiunbae/select-chat-gpt/pull/31,"feat: 멀티 플랫폼 지원 (Claude, Gemini)",2026-01-01T12:26:15Z,2026-01-01T14:46:29Z,0,False,TypeScript
https://github.com/FuzzysTodd/The-Nexus-Protocol-Token-DOA/pull/328,[WIP] Add integration for public NFT DAO on Ethereum,2025-12-10T02:43:58Z,2025-12-10T03:00:09Z,1,False,Solidity
https://github.com/woowacourse/gemini-canvas-mission/pull/6,[사용자가 있는 Gemini 웹앱 출시하기] 테리 미션 제출합니다.,2026-02-25T15:30:30Z,2026-02-26T16:01:41Z,2,False,
https://github.com/Vikaash-dev/Ai-research-paper-and-implementation-of-brain-tumor-detection-/pull/1,Implement AI brain tumor detection system with research paper and CNN implementation,2026-01-04T08:14:05Z,2026-01-06T01:13:23Z,0,False,Python
https://github.com/jhojin7/llm-chat-downloader/pull/8,Add Claude shared chat support alongside Gemini,2025-11-14T19:26:27Z,2025-11-14T19:27:54Z,0,False,Python
https://github.com/drywaters/anthology/pull/84,Implement Active Shelf Scanning feature,2025-12-09T06:50:01Z,2025-12-10T06:17:58Z,0,False,Go
https://github.com/BryanAlanCouch/skills-introduction-to-github/pull/3,[WIP] Finish the Omni assistant AIo mega tech platform,2025-11-17T15:20:43Z,2025-11-17T15:21:58Z,1,False,HTML
https://github.com/abernier/material-theme-builder/pull/74,Recolor,2026-02-09T14:47:09Z,2026-02-10T15:28:16Z,2,True,TypeScript
https://github.com/idealase/idealase.github.io/pull/108,"Add ""The Fatal Economy"" document page",2025-11-10T21:46:35Z,2025-11-11T00:39:30Z,1,False,HTML
https://github.com/swissspidy/compare-wp-performance/pull/109,[WIP] Add AI prompt output for non-scientist users,2025-10-31T09:27:49Z,2025-10-31T09:34:58Z,18,False,Shell
